chart_id,title,category,primary_source,verdict,flags,n_variants,n_countries,iran_points,iran_nonzero,iran_span,iran_distinct,iran_ymin,iran_ymax,best_variant
wdi__EN.GHG.N2O.ZG,Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),Environment,wdi,OK,,1,17,34,34,34,34,1991,2024,Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990)
wdi__EN.GHG.TOT.ZG,Total greenhouse gas emissions excluding LULUCF (% change from 1990),Environment,wdi,OK,,1,17,34,34,34,34,1991,2024,Total greenhouse gas emissions excluding LULUCF (% change from 1990)
wdi__EN.HPT.THRD,"Plant species (higher), threatened",Environment,wdi,THIN,SPARSE|SHORT|FLAT,1,17,2,2,5,2,2018,2022,"Plant species (higher), threatened"
wdi__EN.MAM.THRD,"Mammal species, threatened",Environment,wdi,THIN,SPARSE|SHORT|FLAT,1,17,2,2,5,1,2018,2022,"Mammal species, threatened"
wdi__EN.POP,Population density (people per sq. km of land area),Environment,wdi,OK,,1,17,63,63,63,63,1961,2023,Population density (people per sq. km of land area)
wdi__EN.POP.EL5M,Population living in areas where elevation is below 5 meters (% of total population),Environment,wdi,THIN,SPARSE,1,17,3,3,26,3,1990,2015,Population living in areas where elevation is below 5 meters (% of total population)
wdi__EN.POP.EL5M.RU,Rural population living in areas where elevation is below 5 meters (% of total population),Environment,wdi,THIN,SPARSE,1,17,3,3,26,3,1990,2015,Rural population living in areas where elevation is below 5 meters (% of total population)
wdi__EN.POP.EL5M.UR,Urban population living in areas where elevation is below 5 meters (% of total population),Environment,wdi,THIN,SPARSE,1,17,3,3,26,3,1990,2015,Urban population living in areas where elevation is below 5 meters (% of total population)
wdi__EN.POP.SLUM.UR,Population living in slums (% of urban population),Environment,wdi,OK,,1,17,12,12,23,12,2000,2022,Population living in slums (% of urban population)
wdi__EN.URB,Population in largest city,Environment,wdi,OK,,2,17,132,66,66,66,1960,2025,Population in urban agglomerations of more than 1 million
wdi__EN.URB.LCTY.UR,Population in the largest city (% of urban population),Environment,wdi,OK,,1,17,66,66,66,66,1960,2025,Population in the largest city (% of urban population)
wdi__EN.URB.MCTY.TL,Population in urban agglomerations of more than 1 million (% of total population),Environment,wdi,OK,,1,17,66,66,66,66,1960,2025,Population in urban agglomerations of more than 1 million (% of total population)
wdi__ER.FSH.AQUA,Aquaculture production (metric tons),Environment (Land & Resources),wdi,OK,,1,17,65,54,54,54,1971,2024,Aquaculture production (metric tons)
wdi__ER.FSH.CAPT,Capture fisheries production (metric tons),Environment (Land & Resources),wdi,OK,,1,17,65,65,65,63,1960,2024,Capture fisheries production (metric tons)
wdi__ER.FSH.PROD,Total fisheries production (metric tons),Environment (Land & Resources),wdi,OK,,1,17,65,65,65,63,1960,2024,Total fisheries production (metric tons)
wdi__ER.GDP.FWTL.M3,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Environment (Land & Resources),wdi,OK,,1,17,48,48,48,48,1975,2022,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
wdi__ER.H2O.FWAG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Environment (Land & Resources),wdi,OK,,1,17,30,30,30,12,1993,2022,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
wdi__ER.H2O.FWDM,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",Environment (Land & Resources),wdi,OK,,1,17,30,30,30,12,1993,2022,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
wdi__ER.H2O.FWIN,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",Environment (Land & Resources),wdi,OK,,1,17,30,30,30,12,1993,2022,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
wdi__ER.H2O.FWST,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Environment (Land & Resources),wdi,OK,,1,17,48,48,48,30,1975,2022,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
wdi__ER.H2O.FWTL,"Annual freshwater withdrawals, total (billion cubic meters)",Environment (Land & Resources),wdi,OK,,2,17,96,48,48,30,1975,2022,"Annual freshwater withdrawals, total (billion cubic meters)"
wdi__ER.H2O.INTR,Renewable internal freshwater resources per capita (cubic meters),Environment (Land & Resources),wdi,OK,,2,17,124,62,62,62,1961,2022,Renewable internal freshwater resources per capita (cubic meters)
wdi__ER.LND.PTLD,Terrestrial protected areas (% of total land area),Environment (Land & Resources),wdi,OK,,1,17,13,13,13,3,2013,2025,Terrestrial protected areas (% of total land area)
wdi__ER.MRN.PTMR,Marine protected areas (% of territorial waters),Environment (Land & Resources),wdi,OK,,1,17,13,13,13,3,2013,2025,Marine protected areas (% of territorial waters)
wdi__ER.PTD.TOTL,Terrestrial and marine protected areas (% of total territorial area),Environment (Land & Resources),wdi,OK,,1,17,13,13,13,3,2013,2025,Terrestrial and marine protected areas (% of total territorial area)
wdi__FB.ATM.TOTL,"Automated teller machines (ATMs) (per 100,000 adults)",Financial Sector (Banking Access),wdi,OK,,1,17,14,14,14,14,2005,2018,"Automated teller machines (ATMs) (per 100,000 adults)"
wdi__FB.CBK.BRCH,"Commercial bank branches (per 100,000 adults)",Financial Sector (Banking Access),wdi,OK,,1,17,15,15,15,15,2004,2018,"Commercial bank branches (per 100,000 adults)"
wdi__FD.AST.PRVT.GD,Domestic credit to private sector by banks (% of GDP),Financial Sector (Private Credit),wdi,OK,,1,17,55,55,56,55,1961,2016,Domestic credit to private sector by banks (% of GDP)
wdi__FI.RES.TOTL,Total reserves in months of imports,Financial Sector (Interest Rates),wdi,OK,,3,17,53,23,23,23,1960,1982,"Total reserves (includes gold, current US$)"
wdi__FI.RES.TOTL.DT,Total reserves (% of total external debt),Financial Sector (Reserves),wdi,THIN,SPARSE|SHORT,1,4,3,3,3,3,1980,1982,Total reserves (% of total external debt)
wdi__FI.RES.XGLD,Total reserves minus gold (current US$),Financial Sector (Interest Rates),wdi,OK,,2,17,46,23,23,23,1960,1982,Total reserves minus gold (current US$)
wdi__FM.AST.CGOV.ZG,Claims on central government (annual growth as % of broad money),Financial Sector (Monetary),wdi,OK,,1,10,51,51,56,51,1961,2016,Claims on central government (annual growth as % of broad money)
wdi__FM.AST.DOMS,Net domestic credit (current LCU),Financial Sector (Monetary),wdi,OK,,3,17,162,54,57,54,1960,2016,Net domestic credit (current LCU)
wdi__FM.AST.NFRG,Net foreign assets (current LCU),Financial Sector (Monetary),wdi,OK,,3,17,162,54,57,54,1960,2016,Net foreign assets (current LCU)
wdi__FM.AST.PRVT.GD,Monetary Sector credit to private sector (% GDP),Financial Sector (Monetary),wdi,OK,,1,17,56,56,57,56,1960,2016,Monetary Sector credit to private sector (% GDP)
wdi__FM.AST.PRVT.ZG,Claims on private sector (annual growth as % of broad money),Financial Sector (Monetary),wdi,OK,,1,10,52,52,56,52,1961,2016,Claims on private sector (annual growth as % of broad money)
wdi__FM.LBL.BMNY,Broad money (current LCU),Financial Sector (Monetary),wdi,OK,,4,10,218,55,57,55,1960,2016,Broad money (current LCU)
wdi__FM.LBL.BMNY.GD,Broad money (% of GDP),Financial Sector (Monetary),wdi,OK,,1,10,55,55,57,55,1960,2016,Broad money (% of GDP)
wdi__FM.LBL.BMNY.IR,Broad money to total reserves ratio,Financial Sector (Monetary),wdi,OK,,1,10,23,23,23,23,1960,1982,Broad money to total reserves ratio
wdi__FP.CPI,Consumer price index (2010 = 100),Prices & Inflation,wdi,OK,,1,16,66,66,66,66,1960,2025,Consumer price index (2010 = 100)
wdi__FP.CPI.TOTL,"Inflation, consumer prices (annual %)",Prices & Inflation,wdi,OK,,1,17,66,66,66,66,1960,2025,"Inflation, consumer prices (annual %)"
wdi__FP.WPI,Wholesale price index (2010 = 100),Prices & Inflation,wdi,OK,,1,9,48,48,48,48,1960,2007,Wholesale price index (2010 = 100)
wdi__FR.INR,Real interest rate (%),Financial Sector (Interest Rates),wdi,OK,,4,12,53,14,14,14,2003,2016,Deposit interest rate (%)
wdi__FS.AST.CGOV.GD,"Claims on central government, etc. (% GDP)",Financial Sector,wdi,OK,,1,17,54,54,57,54,1960,2016,"Claims on central government, etc. (% GDP)"
wdi__FX.OWN.TOTL,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Financial Sector (Banking Access),wdi,THIN,SPARSE,1,17,5,5,14,5,2011,2024,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
wdi__FX.OWN.TOTL.FE,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Financial Sector (Banking Access),wdi,THIN,SPARSE,1,17,5,5,14,5,2011,2024,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
wdi__FX.OWN.TOTL.MA,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Financial Sector (Banking Access),wdi,THIN,SPARSE,1,17,5,5,14,5,2011,2024,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
wdi__FX.OWN.TOTL.OL,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",Financial Sector (Banking Access),wdi,THIN,SPARSE,1,17,5,5,14,5,2011,2024,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)"
wdi__FX.OWN.TOTL.PL,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",Financial Sector (Banking Access),wdi,THIN,SPARSE,1,17,5,5,14,5,2011,2024,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)"
wdi__FX.OWN.TOTL.YG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Financial Sector (Banking Access),wdi,THIN,SPARSE,1,17,5,5,14,5,2011,2024,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)"
wdi__GB.XPD.RSDV.GD,Research and development expenditure (% of GDP),Government / Governance,wdi,OK,,1,17,15,15,21,15,2001,2021,Research and development expenditure (% of GDP)
wdi__GC.AST.TOTL,Net acquisition of financial assets (current LCU),Government Finance,wdi,OK,,3,14,24,8,8,8,1999,2006,Net acquisition of financial assets (current LCU)
wdi__GC.AST.TOTL.GD,Net acquisition of financial assets (% of GDP),Government Finance,wdi,OK,,1,14,8,8,8,8,1999,2006,Net acquisition of financial assets (% of GDP)
wdi__GC.LBL.TOTL,"Net incurrence of liabilities, total (current LCU)",Government Finance,wdi,OK,,3,15,24,8,8,8,1999,2006,"Net incurrence of liabilities, total (current LCU)"
wdi__GC.LBL.TOTL.GD,"Net incurrence of liabilities, total (% of GDP)",Government Finance,wdi,OK,,1,15,8,8,8,8,1999,2006,"Net incurrence of liabilities, total (% of GDP)"
wdi__GC.NFN.TOTL,Net investment in nonfinancial assets (current LCU),Government Finance,wdi,OK,,3,16,114,38,38,38,1972,2009,Net investment in nonfinancial assets (current LCU)
wdi__GC.NFN.TOTL.GD,Net investment in nonfinancial assets (% of GDP),Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,Net investment in nonfinancial assets (% of GDP)
wdi__GC.NLD.TOTL,Net lending (+) / net borrowing (-) (current LCU),Government Finance,wdi,OK,,3,16,114,38,38,38,1972,2009,Net lending (+) / net borrowing (-) (current LCU)
wdi__GC.NLD.TOTL.GD,Net lending (+) / net borrowing (-) (% of GDP),Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,Net lending (+) / net borrowing (-) (% of GDP)
wdi__GC.REV.GOTR,Grants and other revenue (current LCU),Government Finance,wdi,OK,,4,16,152,38,38,38,1972,2009,Grants and other revenue (current LCU)
wdi__GC.REV.SOCL,Social contributions (current LCU),Government Finance,wdi,OK,,4,15,152,38,38,38,1972,2009,Social contributions (current LCU)
wdi__GC.REV.XGRT,"Revenue, excluding grants (current LCU)",Government Finance,wdi,OK,,3,16,114,38,38,38,1972,2009,"Revenue, excluding grants (current LCU)"
wdi__GC.REV.XGRT.GD,"Revenue, excluding grants (% of GDP)",Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,"Revenue, excluding grants (% of GDP)"
wdi__GC.TAX.EXPT,Taxes on exports (current LCU),Government Finance,wdi,THIN,SPARSE|SHORT|FLAT,4,6,8,2,2,2,1994,1995,Taxes on exports (% of tax revenue)
wdi__GC.TAX.GSRV,Taxes on goods and services (current LCU),Government Finance,wdi,OK,,3,16,114,38,38,38,1972,2009,Taxes on goods and services (current LCU)
wdi__GC.TAX.GSRV.RV,Taxes on goods and services (% of revenue),Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,Taxes on goods and services (% of revenue)
wdi__GC.TAX.GSRV.VA,Taxes on goods and services (% value added of industry and services),Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,Taxes on goods and services (% value added of industry and services)
wdi__GC.TAX.IMPT,Customs and other import duties (current LCU),Government Finance,wdi,OK,,4,16,152,38,38,38,1972,2009,Customs and other import duties (current LCU)
wdi__GC.TAX.INTT,Taxes on international trade (current LCU),Government Finance,wdi,OK,,3,16,114,38,38,38,1972,2009,Taxes on international trade (current LCU)
wdi__GC.TAX.INTT.RV,Taxes on international trade (% of revenue),Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,Taxes on international trade (% of revenue)
wdi__GC.TAX.OTHR,Other taxes (current LCU),Government Finance,wdi,OK,,3,16,114,38,38,38,1972,2009,Other taxes (current LCU)
wdi__GC.TAX.OTHR.RV,Other taxes (% of revenue),Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,Other taxes (% of revenue)
wdi__GC.TAX.TOTL,Tax revenue (current LCU),Government Finance,wdi,OK,,3,16,114,38,38,38,1972,2009,Tax revenue (current LCU)
wdi__GC.TAX.TOTL.GD,Tax revenue (% of GDP),Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,Tax revenue (% of GDP)
wdi__GC.TAX.YPKG,"Taxes on income, profits and capital gains (current LCU)",Government Finance,wdi,OK,,4,16,152,38,38,38,1972,2009,"Taxes on income, profits and capital gains (% of total taxes)"
wdi__GC.TAX.YPKG.RV,"Taxes on income, profits and capital gains (% of revenue)",Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,"Taxes on income, profits and capital gains (% of revenue)"
wdi__GC.XPN.COMP,Compensation of employees (current LCU),Government Finance,wdi,OK,,4,16,152,38,38,38,1972,2009,Compensation of employees (% of expense)
wdi__GC.XPN.GSRV,Goods and services expense (current LCU),Government Finance,wdi,OK,,4,16,152,38,38,38,1972,2009,Goods and services expense (current LCU)
wdi__GC.XPN.INTP,Interest payments (current LCU),Government Finance,wdi,OK,,4,16,152,38,38,38,1972,2009,Interest payments (% of expense)
wdi__GC.XPN.INTP.RV,Interest payments (% of revenue),Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,Interest payments (% of revenue)
wdi__GC.XPN.OTHR,Other expense (current LCU),Government Finance,wdi,OK,,4,16,40,10,11,10,1999,2009,Other expense (% of expense)
wdi__GC.XPN.TOTL,Expense (current LCU),Government Finance,wdi,OK,,3,16,114,38,38,38,1972,2009,Expense (current LCU)
wdi__GC.XPN.TOTL.GD,Expense (% of GDP),Government Finance,wdi,OK,,1,16,38,38,38,38,1972,2009,Expense (% of GDP)
wdi__GC.XPN.TRFT,Subsidies and other transfers (current LCU),Government Finance,wdi,OK,,4,16,44,11,11,11,1999,2009,Subsidies and other transfers (% of expense)
wdi__GD_WBL_OVL,WBL: Legal Framework Index (scale 0-100),Gender / Legal Rights,wdi,THIN,SPARSE|SHORT|FLAT,3,17,3,1,1,1,2025,2025,WBL: Supportive Framework Index (scale 0-100)
wdi__GOV_WGI_CC,Control of Corruption - Governance score (0-100),Governance (WGI),wdi,OK,,2,17,52,26,29,26,1996,2024,Control of Corruption - Governance estimate (approx. -2.5 to +2.5)
wdi__GOV_WGI_GE,Government Effectiveness - Governance score (0-100),Governance (WGI),wdi,OK,,2,17,52,26,29,26,1996,2024,Government Effectiveness - Governance score (0-100)
wdi__GOV_WGI_PV,Political Stability - Governance score (0-100),Governance (WGI),wdi,OK,,2,17,52,26,29,26,1996,2024,Political Stability - Governance estimate (approx. -2.5 to +2.5)
wdi__GOV_WGI_RL,Rule of Law - Governance score (0-100),Governance (WGI),wdi,OK,,2,17,52,26,29,26,1996,2024,Rule of Law - Governance score (0-100)
wdi__GOV_WGI_RQ,Regulatory Quality - Governance score (0-100),Governance (WGI),wdi,OK,,2,17,52,26,29,26,1996,2024,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5)
wdi__GOV_WGI_VA,Voice and Accountability - Governance score (0-100),Governance (WGI),wdi,OK,,2,17,52,26,29,26,1996,2024,Voice and Accountability - Governance score (0-100)
wdi__HD_HCIP_EDUC,"Human capital index plus (HCI+): education pillar score, male (scale 0, 188)",Human Capital,wdi,THIN,SPARSE,3,17,12,4,16,4,2010,2025,"Human capital index plus (HCI+): education pillar score, total (scale 0–188)"
wdi__HD_HCIP_HLTH,"Human capital index plus (HCI+): health pillar score, male (scale 0, 50)",Human Capital,wdi,THIN,SPARSE,3,17,12,4,16,4,2010,2025,"Human capital index plus (HCI+): health pillar score, male (scale 0–50)"
wdi__HD_HCIP_OTJL,"Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30, 87)",Human Capital,wdi,THIN,SPARSE,3,17,12,4,16,4,2010,2025,"Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30–87)"
wdi__HD_HCIP_OVRL,"Human capital index plus (HCI+): overall score, male (scale 0, 325)",Human Capital,wdi,THIN,SPARSE,3,17,12,4,16,4,2010,2025,"Human capital index plus (HCI+): overall score, female (scale 0–325)"
wdi__IC.BUS,New businesses registered (number),Business & Investment Climate,wdi,THIN,SPARSE|SHORT|FLAT,1,15,1,1,1,1,2020,2020,New businesses registered (number)
wdi__IC.BUS.NDNS,"New business density (new registrations per 1,000 people ages 15-64)",Business & Investment Climate,wdi,THIN,SPARSE|SHORT|FLAT,1,15,1,1,1,1,2020,2020,"New business density (new registrations per 1,000 people ages 15-64)"
wdi__IE.PPI.ENGY,Investment in energy with private participation (current US$),Infrastructure (Energy),wdi,THIN,SPARSE,2,5,6,3,14,3,2004,2017,Investment in energy with private participation (current US$)
wdi__IE.PPI.ICTI,Investment in ICT with private participation (current US$),Infrastructure (Energy),wdi,THIN,SPARSE,2,5,6,3,13,3,1996,2008,Investment in ICT with private participation (current US$)
wdi__IE.PPI.TRAN,Investment in transport with private participation (current US$),Infrastructure (Transport),wdi,THIN,SPARSE|SHORT|FLAT,2,5,2,1,1,1,2016,2016,Investment in transport with private participation (current US$)
wdi__IE.PPN.ENGY,Public private partnerships investment in energy (current US$),Infrastructure (Energy),wdi,THIN,SPARSE,2,5,6,3,14,3,2004,2017,Public private partnerships investment in energy (current US$)
wdi__IE.PPN.TRAN,Public private partnerships investment in transport (current US$),Infrastructure (Transport),wdi,THIN,SPARSE|SHORT|FLAT,2,5,2,1,1,1,2016,2016,Public private partnerships investment in transport (current US$)
